dependency,version,rev,package_id
sui,1.0.0,ae1212baf8f0837e25926d941db3d26a61c1bea2,0x0000000000000000000000000000000000000000000000000000000000000002
originmate,3.0.0,36e02283fa00451e8476a1bbc201af9a248396de,0xed6c6fe0732be937f4379bc0b471f0f6bfbe0e8741968009e0f01e6de3d59f32
pseudorandom,1.0.0,b2dea4d1bee5608207d06d13ec0679a93d53962d,0x9e5962d5183664be8a7762fbe94eee6e3457c0cc701750c94c17f7f8ac5a32fb
utils,1.0.0,b2dea4d1bee5608207d06d13ec0679a93d53962d,0x859eb18bd5b5e8cc32deb6dfb1c39941008ab3c6e27f0b8ce2364be7102bb7cb
permissions,1.0.0,b2dea4d1bee5608207d06d13ec0679a93d53962d,0x16c5f17f2d55584a6e6daa442ccf83b4530d10546a8e7dedda9ba324e012fc40
request,1.0.0,b2dea4d1bee5608207d06d13ec0679a93d53962d,0xe2c7a6843cb13d9549a9d2dc1c266b572ead0b4b9f090e7c3c46de2714102b43
kiosk,1.0.0,b2dea4d1bee5608207d06d13ec0679a93d53962d,0x95a441d389b07437d00dd07e0b6f05f513d7659b13fd7c5d3923c7d9d847199b
allowlist,1.0.0,b2dea4d1bee5608207d06d13ec0679a93d53962d,0x70e34fcd390b767edbddaf7573450528698188c84c5395af8c4b12e3e37622fa
authlist,1.0.0,b2dea4d1bee5608207d06d13ec0679a93d53962d,0x228b48911fdc05f8d80ac4334cd734d38dd7db74a0f4e423cb91f736f429ebe4
launchpad,1.0.0,b2dea4d1bee5608207d06d13ec0679a93d53962d,0xc74531639fadfb02d30f05f37de4cf1e1149ed8d23658edd089004830068180b
liquidity_layer_v1,1.0.0,b2dea4d1bee5608207d06d13ec0679a93d53962d,0x4e0629fa51a62b0c1d7c7b9fc89237ec5b6f630d7798ad3f06d820afb93a995a
liquidity_layer,1.0.0,b2dea4d1bee5608207d06d13ec0679a93d53962d,0xae5e376b646e4d095b99e2eeaa222e40d5a6c26250419f00c4fc613a9cfb2e18
nft_protocol,1.0.0,b2dea4d1bee5608207d06d13ec0679a93d53962d,0xbc3df36be17f27ac98e3c839b2589db8475fa07b20657b08e8891e3aaf5ee5f9